# demo_1 output
#
# model: C:/Users/Musta/Documents/Dev/AutoBPSM/data/1d_model/pm1d/ST168
# event: 46
# overlay: Pore Pressure
# unit: MPa
#
# [element_id] [value]:
1 146.822998047
2 144.757095337
3 142.690963745
4 139.385467529
5 136.081710815
6 132.782150269
7 129.490524292
8 126.212631226
9 121.712295532
10 117.286140442
11 113.032295227
12 109.109199524
13 92.2032165527
14 90.4577789307
15 88.7140808105
16 86.1231155396
17 80.4687042236
18 75.0135726929
19 70.1030349731
20 65.6522903442
21 46.1971549988
22 44.1964607239
23 42.1951560974
24 39.9733772278
25 38.1969871521
26 36.4213676453
27 34.646446228
28 32.8722229004
29 31.0988063812
30 29.1655101776
31 27.2323246002
32 25.3013916016
33 23.374666214
34 21.7569828033
35 20.3410396576
36 18.9248561859
37 17.5087184906
38 16.0930690765
39 14.6785745621
40 13.2662372589
41 11.096414566
42 9.21364688873
43 7.34586858749
44 5.51521015167
45 3.74042415619
46 2.01754999161
